ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2024-10-22 11:00:42.275248322+00:00,10,40,38,A,B,0,235.51,200,194,203764,16360,,235.51,0,200,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2024-10-22 11:00:49.081224415+00:00,10,40,38,A,A,0,,0,194,203201,16438,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2024-10-22 11:00:49.081319895+00:00,10,40,38,A,A,0,235.51,200,194,203150,16439,,235.51,0,200,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2024-10-22 11:00:49.081455818+00:00,10,40,38,A,B,0,235.51,200,194,203101,16440,234.57,235.51,200,200,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2024-10-22 11:00:49.646329167+00:00,10,40,38,A,B,0,235.51,200,194,203034,16453,,235.51,0,200,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2024-10-22 11:00:49.977569659+00:00,10,40,38,A,A,0,,0,194,203039,16455,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2024-10-22 11:00:49.979432925+00:00,10,40,38,A,A,0,235.51,200,194,203048,16457,,235.51,0,200,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2024-10-22 11:00:49.979511798+00:00,10,40,38,A,B,0,235.51,200,194,203017,16458,234.57,235.51,200,200,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2024-10-22 11:00:50.087991023+00:00,10,40,38,A,N,0,,0,194,203327,16463,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2024-10-22 11:00:55.111089527+00:00,10,40,38,A,B,0,,0,194,202914,16511,234.57,,200,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
